Category;ProductNaam;Eenheid;EenheidGewicht;Energie;Eiwit;Koolhydraat;VetTotaal;VetVerzadigd;VetOnverzadigd;VetzurenTrans;Linolzuur;Cholesterol;Alcohol;Vezels;Na;Ca;Fe;Mg;Se;Zn;K;P;VitamineA;VitamineB1;VitamineB2;VitamineB6;VitamineB12;VitamineC;VitamineD;VitamineE;Foliumzuur;Nicotz;totMdisac;totPdisac;eiwitP;PEiw
Dranken;Bier zwaar >7 vol% alc ;bierglas normaal;200;62;1;4;0;0;0;0;0;0;6;0;5;3;0;8;0;0.02;41;27;0;0;0.02;0.06;0;0;0;0;7;0.9;2.5;1.3;2;45
Dranken;Bietensap ;glas;150;34;1;8;0;0;0;0;0;0;0;0;18;3;0.6;22;;0.3;290;29;0;0.03;0.06;0.09;0;3;0;;17;;7.4;0.3;4;32.2
Dranken;Bitter lemon ;glas;150;38;0;10;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;9.6;0;0;
Dranken;Brandewijn ;borrelglas thuis;50;231;0;0;0;0;0;0;0;0;33;0;2;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Bronwater ;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Bronwater Bar le Duc ;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Bronwater Na-arm ;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Calvados ;glas;35;228;0;1;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Dranken;Campari ;whiskyglas thuis;35;180;0;10;0;0;0;0;0;0;20;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;;0;0;10;0;0;
Dranken;Cassis ;glas;150;38;0;10;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;9.6;0;0;
Dranken;Chaudfontaine bronwater ;glas;150;0;0;0;0;0;0;0;0;0;0;0;4;7;0;0;;;0;;0;;;;0;;0;;0;;0;0;0;
Dranken;Citroenjenever ;borrelglas thuis;50;180;0;3;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;
Dranken;Citroensap ;sap van vrucht;30;32;0;8;0;0;0;0;0;0;0;0;1;11;0.1;7;1;0.13;138;11;1;0.04;0.01;0.04;0;53;0;0;9;0.1;2;6;0;
Dranken;Cognac ;glas;35;228;0;1;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Dranken;Cola ;glas;150;39;0;10;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;9.8;0;0;
Dranken;Diksap geconcentreerd ;voor 1 glas;20;222;0;55;0;0;0;0;0;0;0;0.2;30;48;;31;;;661;;0;;;;0;0;0;;1;;55.2;0;2;
Dranken;Djoez ;glas;150;49;0;12;0;0;0;0;0;0;0;0.1;17;14;0;3;0;0.02;67;13;0;0;0;0;;15;0;0.1;4;0.2;12.2;0;0;130
Dranken;Druivensap ;glas;150;63;0;16;0;0;0;0;0;0;0;0.1;3;14;0.4;9;1;0.1;100;12;0;0.04;0.05;0.03;0;3;0;0.4;0;0.2;15.7;0;1;60
Dranken;Energiedrank ;blik;330;66;0;17;0;0;0;0;0;0;0;0;10;7;0;1;0;0;8;0;;0;0;0;0;15;0;0;0;0;15;0.9;0;
Dranken;Energiedrank poeder ;gram;1;384;0;96;0;0;0;0;0;0;0;0;250;24;0;12;0;0;63;33;299;0.95;0;0;;48;0;8.4;;0;30;66;0;
Dranken;Energy drink ;blik;330;66;0;17;0;0;0;0;0;0;0;0;10;7;0;1;0;0;8;0;;0;0;0;0;15;0;0;0;0;15;0.9;0;
Dranken;Espressokoffie z suiker ;kopje;125;1;0;0;0;0;0;0;0;0;0;0;1;4;0.2;6;0;0.01;78;0;0;0.01;0.01;0;0;0;0;0;0;0.4;0.1;0;1;
Dranken;Evian bronwater ;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;8;0;2;;;0;;0;;;;0;;0;;0;;0;0;0;
Dranken;Frisdrank ;glas;150;38;0;10;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;9.6;0;0;
Dranken;Frisdrank light m cafe?ne ;glas;150;0;0;0;0;0;0;0;0;0;0;0;15;5;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0.1;0;0;
Dranken;Frisdrank light z cafe?ne ;glas;150;0;0;0;0;0;0;0;0;0;0;0;15;0;0.2;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0.1;0;0;
Dranken;FruitOntbijt Hero Drinkontb ;gram;1;56;1;14;0;0;0;0;0;0;0;2;6;;;;;;;;0;0.21;;;0;24;0;1.5;;2.7;11.9;1.7;2;
Dranken;Gin ;whiskyglas thuis;50;245;0;0;0;0;0;0;0;0;35;0;0;2;0;0;0;0.01;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Gingerale ;glas;150;38;0;10;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;9.6;0;0;
Dranken;Grapefruitsap ;glas;150;31;1;7;0;0;0;0;0;0;0;0.4;3;11;0.2;9;0;0.03;137;13;0;0.05;0.01;0.02;0;26;;0.2;4;0.2;7.3;0;2;26
Dranken;Jonge jenever ;borrelglas thuis;50;196;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;J?germeister ;borrelglas thuis;50;294;0;14;0;0;0;0;0;0;34;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;;0;0;14;0;0;
Dranken;Karvan C?vitam siroop ;voor 1 glas;35;236;0;59;0;0;0;0;0;0;0;0;2;7;0.1;3;0;0.02;70;5;0;0;0;0.8;0;40;0;4;0;7.2;58;0;0;
Dranken;Koffie bereid ;kopje;125;1;0;0;0;0;0;0;0;0;0;0;1;4;0.2;6;0;0.01;78;0;0;0.01;0.01;0;0;0;0;0;0;0.4;0.1;0;1;
Dranken;Koffie zwart ;kopje;125;1;0;0;0;0;0;0;0;0;0;0;1;4;0.2;6;0;0.01;78;0;0;0.01;0.01;0;0;0;0;0;0;0.4;0.1;0;1;
Dranken;Kruidenthee zonder suiker ;kopje;125;0;0;0;0;0;0;0;0;0;0;0;2;5;0;1;0;0.01;8;2;0;0;0;0.02;0;0;0;0;0;0;0;0;0;
Dranken;Leidingwater ;glas;150;0;0;0;0;0;0;0;0;0;0;0;3;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Likeur 15-25% alc ;likeurglas;35;242;0;29;0;0;0;0;0;0;18;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;
Dranken;Likeur <15 vol% alc ;likeurglas;35;200;0;29;0;0;0;0;0;0;12;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;
Dranken;Likeur >25 vol% alc ;likeurglas;35;291;0;29;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;
Dranken;Limoensap ;sap van vrucht;30;32;0;8;0;0;0;0;0;0;0;0;1;11;0.1;7;1;0.13;138;11;1;0.04;0.01;0.04;0;53;0;0;9;0.1;2;6;0;
Dranken;Limonade ;glas;150;38;0;10;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;9.6;0;0;
Dranken;Limonadesiroop ;voor 1 glas;35;237;0;59;0;0;0;0;0;0;0;0;2;8;0.4;3;0;0.02;46;5;0;0;0;0;0;30;0;0;0;0;59.2;0;1;25
Dranken;Limonadesiroop suikervrij ;eetlepel punt;15;0;0;0;0;0;0;0;0;0;0;0;100;10;0;;;;80;0;0;0;0;0;0;0;0;;0;0;0;0;0;
Dranken;Madeira ;glas;50;166;0;10;0;0;0;0;0;0;18;0;4;0;0.4;10;0;0.14;100;0;0;0;0;0;0;0;0;0;0;0;10;0;0;
Dranken;Mineraalwater ;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Mineraalwater Na-arm ;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Muscatel ;wijnglas;100;154;0;12;0;0;0;0;0;0;15;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;;0;0;12;0;0;
Dranken;Olvarit 1e sapje 4 mnd ;fles;125;40;0;10;0;0;0;0;0;0;0;0.1;6;13;4.5;6;0;0;87;6;0;0.02;0;0.02;0;15;0;;6;;9.9;0;0;
Dranken;Oude jenever ;borrelglas thuis;50;200;0;1;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Dranken;Passata gepureerde tomaat ;glas;150;13;1;2;0;0;0;0;0;0;0;1;250;13;0.3;10;0;0.12;212;17;22;0.05;0.02;0.08;0;8;0;1.8;13;0.5;2.3;0;4;18.9
Dranken;Pepermuntthee z suiker ;kopje;125;0;0;0;0;0;0;0;0;0;0;0;2;5;0;1;0;0.01;8;2;0;0;0;0.02;0;0;0;0;0;0;0;0;0;
Dranken;Perensap ;glas;150;35;0;9;0;0;0;0;0;0;0;0;3;5;0.2;5;;0.07;118;8;0;0.01;0;0.02;0;0;0;;1;0.1;8.7;0;0;80
Dranken;Perensap geconcentreerd ;voor 1 glas;20;222;0;55;0;0;0;0;0;0;0;0.2;30;48;;31;;;661;;0;;;;0;0;0;;1;;55.2;0;2;
Dranken;Perrier bronwater ;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;15;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Pleegzusterbloedwijn ;wijnglas;100;154;0;14;0;0;0;0;0;0;14;0;10;5;10;10;;;70;12;0;0;0.02;0.02;0;0;0;;0;0.1;14;0;0;
Dranken;Port ;portglas thuis;75;156;0;13;0;0;0;0;0;0;15;0;4;4;0.4;11;0;0.21;97;12;0;0;0.01;0.01;0;0;0;0;0;0.1;13;0;0;
Dranken;Rivella light weidrank ;glas;150;4;0;1;0;0;0;0;0;0;0;0;13;18;0.2;3;;;39;10;;0.01;0;0.01;;0;0;;4;0.3;1;0;0;
Dranken;Rode wijn ;wijnglas;100;82;0;3;0;0;0;0;0;0;10;0;10;8;0.6;10;0;0.05;70;12;0;0;0.02;0.02;0;0;0;0;0;0.1;3;0;0;
Dranken;Roosvicee Calcium ;lepel;15;204;0;51;0;0;0;0;0;0;0;0.1;1;403;0.2;3;0;0.02;60;4;0;0;0;;0;48;0;0;0;0;47;4;0;
Dranken;Roosvicee dieet ;lepel;15;72;0;4;0;0;0;0;0;0;0;0.3;13;8;0.2;4;;0.04;64;6;0;0;0;0;0;48;0;;0;;2;2;1;30
Dranken;Roosvicee ferro ;lepel;15;225;0;56;0;0;0;0;0;0;0;0.2;6;6;80;;;;60;5;0;0;0;0;0;48;0;;0;;54.4;1.6;1;25
Dranken;Roosvicee laxo ;lepel;15;224;0;56;0;0;0;0;0;0;0;0.2;1;8;0.1;;;;58;5;0;0;0;0;0;48;0;;0;;55;0.8;0;50
Dranken;Roosvicee Lessini light ;lepel;15;109;0;27;0;0;0;0;0;0;0;0.1;20;4;0.4;2;0;0.02;33;3;0;0;0;0;0;0;0;0;0;0;25.7;1.3;1;15
Dranken;Roosvicee Multivit ;glas;150;44;0;11;0;0;0;0;0;0;0;0;1;3;0.1;2;0;0.02;30;3;8;0.17;0.19;0.24;0.12;12;0;1.2;0;2.2;10.6;0.4;0;
Dranken;Roosvicee Multivit ;lepel;15;222;0;55;0;0;0;0;0;0;0;0.1;1;7;0.1;3;0;0.03;50;4;42;0.7;0.79;0.99;0.5;48;0;5;0;8.9;54;1.4;0;40
Dranken;Roosvicee siroop ;lepel;15;222;0;55;0;0;0;0;0;0;0;0.3;4;8;0.3;5;0;0.05;63;6;0;0;0;0;0;48;0;6.5;0;0;55.5;0;1;30
Dranken;Roosvicee stop ;lepel;15;224;0;56;0;0;0;0;0;0;0;0.3;7;5;0.2;;;;31;3;0;0;0;0;0;48;0;;0;;55.2;0.8;0;30
Dranken;Rum ;borrelglas thuis;50;234;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Sherry ;portglas thuis;75;111;0;3;0;0;0;0;0;0;14;0;6;8;0.5;8;0;0.04;64;7;0;0;0.01;0.01;0;0;0;0;0;0.1;3.2;0;0;
Dranken;Sinaasappelsap ;glas;150;39;1;9;0;0;0;0;0;0;0;0.3;1;13;0.1;11;0;0.03;180;14;1;0.05;0.01;0.05;0;35;0;0.3;20;0;9.1;0;2;23.3
Dranken;Sinaasappelsap + vruchtvl ;glas;150;38;1;9;0;0;0;0;0;0;0;0.6;1;8;0.1;11;0;0.03;192;17;0;0.07;0.03;0.08;0;35;0;0.3;20;0;8.8;0;3;24.3
Dranken;Sinas ;glas;150;38;0;10;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;9.6;0;0;
Dranken;Siroop limonade ;voor 1 glas;35;237;0;59;0;0;0;0;0;0;0;0;2;8;0.4;3;0;0.02;46;5;0;0;0;0;0;30;0;0;0;0;59.2;0;1;25
Dranken;Siroop limonade- suikervrij ;eetlepel punt;15;0;0;0;0;0;0;0;0;0;0;0;100;10;0;;;;80;0;0;0;0;0;0;0;0;;0;0;0;0;0;
Dranken;Sourcy bronwater ;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;4;;0;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Spa bronwater ;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Spa bronwater Na-arm ;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Spontin siroop ;voor 1 glas;35;246;0;61;0;0;0;0;0;0;0;0;3;5;0.4;2;0;0.02;34;5;0;0;0;0;0;3;0;0;0;0;61.4;0;0;50
Dranken;Sportdrank energie poeder ;gram;1;384;0;96;0;0;0;0;0;0;0;0;250;24;0;12;0;0;63;33;299;0.95;0;0;;48;0;8.4;;0;30;66;0;
Dranken;Sprite ;glas;150;38;0;10;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;9.6;0;0;
Dranken;Stimulance multivezel vr dr ;pak;200;44;0;10;0;0;0;0;0;0;0;3.5;5;;0.1;10;0;0.03;181;;0;;;;;15;;;20;0;10.4;0;2;
Dranken;Taksi ;glas;150;49;0;12;0;0;0;0;0;0;0;0.1;17;14;0;3;0;0.02;67;13;0;0;0;0;;15;0;0.1;4;0.2;12.2;0;0;130
Dranken;Thee zonder melk;kopje;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dranken;Tomatengroentensap ;glas;150;20;1;4;0;0;0;0;0;0;0;1;365;13;0.4;9;;;193;21;78;0.05;0.03;0.08;0;8;0;;18;0.5;3;1;4;21
Dranken;Tomatengroentensap Na- ;glas;150;20;1;4;0;0;0;0;0;0;0;1;22;19;0.4;;;;261;15;0;0.05;0.03;0.08;0;18;0;;18;0.5;3;1;4;15
Dranken;Tomatensap ;glas;150;13;1;2;0;0;0;0;0;0;0;1;250;13;0.3;10;0;0.12;212;17;22;0.05;0.02;0.08;0;8;0;1.8;13;0.5;2.3;0;4;18.9
Dranken;Tonic ;glas;150;31;0;8;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.8;0;0;
Dranken;Up drank ;glas;150;38;0;10;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;9.6;0;0;
Dranken;Vermouth zoet ;portglas cafe;50;150;0;17;0;0;0;0;0;0;12;0;28;6;0.4;6;0;0.03;18;7;0;0;0;0;0;0;0;0;0;0;16.5;0;0;
Dranken;Vieux ;borrelglas thuis;50;200;0;1;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Dranken;Vittel bronwater ;glas;150;0;0;0;0;0;0;0;0;0;0;0;0;20;0;4;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Vlierbessensap ;glas;150;60;0;15;0;0;0;0;0;0;0;0.4;5;20;2;6;0;0.3;125;12;0;0;0;0;0;30;0;0.8;4;0;15;0;0;
Dranken;Vruchtendrank > 1 vrucht ;glas;150;51;0;13;0;0;0;0;0;0;0;0.2;2;11;0.3;7;1;0.07;96;7;6;0.02;0.02;0.03;0;13;0;0.1;6;0.1;12.5;0;2;17.5
Dranken;Vruchtendrank frambozen ;glas;150;56;0;14;0;0;0;0;0;0;0;0.4;2;9;3;;;;70;5;0;0;0;0;0;0;0;;10;0;14;0;0;
Dranken;Vruchtendrank rode bessen ;glas;150;56;0;14;0;0;0;0;0;0;0;0.4;2;7;4;10;0;0.2;80;8;0;0;0;0;0;0;0;0.1;4;0;14;0;0;
Dranken;Vruchtenlimonade ;glas;150;39;0;10;0;0;0;0;0;0;0;0;5;5;0;1;0;0;14;2;0;0;0;0;0;2;0;0;0;0;9.8;0;0;
Dranken;Vruchtenlimonade light ;glas;150;4;0;1;0;0;0;0;0;0;0;0;18;;0;;0;0;15;;0;0;0;0;0;7;0;0;0;0;1;0;0;
Dranken;Vruchtenthee zonder suiker ;kopje;125;0;0;0;0;0;0;0;0;0;0;0;2;5;0;1;0;0.01;8;2;0;0;0;0.02;0;0;0;0;0;0;0;0;0;
Dranken;Water ;glas;150;0;0;0;0;0;0;0;0;0;0;0;3;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Water 0-50 mg calcium/liter ;glas;150;0;0;0;0;0;0;0;0;0;0;0;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Water >100 mg calcium/liter ;glas;150;0;0;0;0;0;0;0;0;0;0;0;2;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Water gemiddeld ;glas;150;0;0;0;0;0;0;0;0;0;0;0;2;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Weidrank Taksi ;glas;150;49;0;12;0;0;0;0;0;0;0;0.1;17;14;0;3;0;0.02;67;13;0;0;0;0;;15;0;0.1;4;0.2;12.2;0;0;130
Dranken;Whisky ;whiskyglas thuis;50;245;0;0;0;0;0;0;0;0;35;0;0;2;0;0;0;0.01;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Wijn Pleegzusterbloed- ;wijnglas;100;154;0;14;0;0;0;0;0;0;14;0;10;5;10;10;;;70;12;0;0;0.02;0.02;0;0;0;;0;0.1;14;0;0;
Dranken;Witte wijn droog ;wijnglas;100;67;0;1;0;0;0;0;0;0;9;0;4;12;0.6;8;0;0.04;86;8;0;0;0.01;0.02;0;0;0;0;0;0.1;0.6;0;0;80
Dranken;Wodka ;whiskyglas thuis;50;245;0;0;0;0;0;0;0;0;35;0;0;2;0;0;0;0.01;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dranken;Wortelsap ;glas;150;27;0;6;0;0;0;0;0;0;0;0;28;17;0.5;8;;0.1;258;42;1.282;0.09;0.06;0.22;0;0;0;;9;0.4;6.4;0;2;105
Dranken;Zuurkoolsap ;glas;150;7;1;1;0;0;0;0;0;0;0;0;279;35;1.1;9;;0.1;176;;0;;;;0;16;0;;5;;0.7;0.4;3;
Dranken;Zwarte bessendrank ;glas;150;60;0;15;0;0;0;0;0;0;0;0.4;5;20;2;6;0;0.3;125;12;0;0;0;0;0;30;0;0.8;4;0;15;0;0;
Gerechten;Andijvie/aardap/vlees diepvr ;pak;475;71;5;9;2;1;1;;0.2;4;0;1.6;280;17;1;;;;241;49;101;0.34;0.1;0.12;;3;;;;0.2;0.5;8.1;5;9.4
Gerechten;Andijvie/aardap/vlees koelv ;grote lepel;50;99;3;12;4;2;3;;0.3;7;0;2.8;347;28;0.7;;;;351;57;46;0.04;0.13;0.16;;0;;;;0.8;1;10.4;6;17.3
Gerechten;Andijviestamppot mz ;groentelepel punt;100;58;2;12;0;0;0;0;0;0;0;2.7;400;25;0.6;16;1;0.27;385;51;21;0.08;0.06;0.19;0.03;6;0;0.1;18;0.4;1.1;11;7;24.3
Gerechten;Andijviestamppot zz ;groentelepel punt;100;58;2;12;0;0;0;0;0;0;0;2.7;11;25;0.6;16;1;0.27;385;51;21;0.08;0.06;0.19;0.03;6;0;0.1;18;0.4;1.1;11;7;24.3
Gerechten;Aubergine gev dolma patli?a ;portie;415;64;3;7;3;1;2;;0.4;7;0;2.2;294;11;0.6;;;;146;;;0.02;0.03;0.07;;;;;;;6.9;0;3;
Gerechten;Babi pangang z rijst ;portie;350;276;12;5;23;8;15;0.1;2.8;36;0;0.1;413;11;0.9;17;9;1.35;339;144;42;0.39;0.09;0.19;0.51;1;0.6;0.3;1;3.4;4.6;0.5;1;11.7
Gerechten;Babyvoeding maaltijd 6 mnd ;portie;150;60;3;8;2;0;2;0;1;;0;2;34;36;0.6;18;2;0.65;249;53;;;;;;3;;;;;1.4;6.1;6;18.9
Gerechten;Babyvoeding maaltijd 8 mnd ;portie;200;71;4;9;2;0;2;0;0.9;;0;1.9;40;32;0.7;16;3;0.55;241;53;;;;;;2;;;;;1.7;7.6;4;15.1
Gerechten;Babyvoedmaaltijd 12 mnd ;pot;200;78;3;10;3;1;2;0;0.5;;0;1.7;56;;;;;;;;;;;;;;;;;;1.9;8;4;
Gerechten;Bami goreng blik ;groentelepel punt;60;145;6;19;5;1;4;2.6;0;10;0;1;450;25;2;;;;60;45;7;0.03;0.08;0.01;0.11;0;;;6;0.6;2;17;12;7.5
Gerechten;Bami goreng diepvr.maaltijd ;groentelepel punt;60;118;7;16;3;1;2;1.4;0;38;0;1.4;320;11;0.6;7;5;1.21;63;60;7;0.06;0.07;0.11;0.11;1;0.4;0.4;;1.2;2.9;13.1;13;8.5
Gerechten;Bami goreng koelv maaltijd ;groentelepel punt;60;155;6;18;6;2;5;0;1.1;38;0;1.4;440;11;0.6;7;5;1.21;63;60;7;0.07;0.09;0.1;0.11;2;0.4;0.4;;1.2;3.2;14.3;11;9.5
Gerechten;Bami goreng z ei ;portie;350;165;7;26;4;1;3;1.9;0;38;0;1;147;11;0.6;7;5;1.21;63;60;7;0.11;0.05;0.11;0.11;4;0.4;0.4;6;1.3;4.8;21.5;12;9.1
Gerechten;Barbecuepizza ;stuks;100;287;12;35;11;2;9;0.1;1.9;18;0;1.4;672;21;0.7;19;4;1.07;276;150;29;0.15;0.09;0.07;0.59;0;0.3;2.1;;1.4;7;28;24;12.5
Gerechten;boerenkool stamppot+worst ;groentelepel punt;110;119;4;10;7;2;4;0;1.1;5;0;2.3;345;48;0.8;14;3;0.48;310;79;115;0.1;0.11;0.19;0.14;13;0.3;0.1;16;1;0.7;9.5;8;18
Gerechten;Boerenkoolstamppot mz ;groentelepel punt;110;79;3;12;2;1;1;0;0.7;0;0;2.7;400;53;0.7;14;1;0.21;328;58;131;0.08;0.09;0.2;0;16;0.2;0;19;0.6;0.7;11.2;10;23.2
Gerechten;Boerenkoolstamppot zz ;groentelepel punt;110;79;3;12;2;1;1;0;0.7;0;0;2.7;23;53;0.7;14;1;0.21;328;58;131;0.08;0.09;0.2;0;16;0.2;0;19;0.6;0.7;11.2;10;23.2
Gerechten;Chili con carne bereid ;portie;400;124;9;10;6;2;4;0.1;1;16;0;5.8;360;27;1.7;22;4;1.43;346;138;18;0.15;0.05;0.12;0.39;10;0.2;0.4;25;1.6;1.5;8.2;16;15.7
Gerechten;Chili con carne diepvries ;pak;400;125;8;13;5;2;3;;0.7;4;0;3.8;360;27;1.3;25;4;1.32;275;111;11;0.11;0.1;0.1;0.38;8;0.2;0.5;;1.7;3.1;9.4;12;13.9
Gerechten;Chili con carne koelvers ;pak;400;107;7;14;2;1;2;0.2;0.4;20;0;3.8;520;27;1.3;25;4;1.32;275;111;11;0.1;0.11;0.15;0.38;5;0.2;0.5;;1.7;3.5;10.9;11;15.9
Gerechten;Flensje ;stuks;40;195;8;29;5;2;3;0;1.3;25;0;0.6;217;106;0.8;21;3;0.73;209;201;37;0.1;0.22;0.04;0.3;1;0.5;0.3;6;0.4;4.9;24.3;20;24.2
Gerechten;Foe yong hai z rijst ;portie;350;128;10;2;9;3;6;0;1.7;168;0;0;431;60;1.1;19;15;0.99;131;162;110;0.11;0.26;0.09;1.22;1;1;1;18;0.7;1.5;0.7;0;15.7
Gerechten;Gado gado z rijst en z ei ;portie;350;83;4;5;5;1;4;0;2.1;0;0;1.7;152;36;0.7;24;1;0.43;214;58;6;0.09;0.11;0.08;0;17;0;1.7;26;1.7;2.5;2.1;17;13.5
Gerechten;Goulash ;grote lepel;50;105;10;2;6;2;4;0.1;1;28;0;0.5;298;16;1.3;19;3;1.73;274;100;52;0.12;0.08;0.18;0.71;9;0.3;0.5;6;2.2;1.5;0.5;2;9.6
Gerechten;Groentemix poesta onb ;groentelepel punt;50;45;3;6;1;0;1;0;0.3;0;0;2.9;20;;1;;;;200;;157;0.1;0.1;;0;30;0;;;;0;6;12;
Gerechten;Groentemix poesta gek mz ;;;45;3;6;1;0;1;0;0.3;0;0;2.9;250;;1;;;;200;;157;0.1;0.1;;0;30;0;;;;0;6;12;
Gerechten;Groentemix poesta gek zz ;gram;1;45;3;6;1;0;1;0;0.3;0;0;2.9;20;;1;;;;200;;157;0.1;0.1;;0;30;0;;;;0;6;12;
Gerechten;Groenteschotel+vlees t?rl? ;portie;345;70;4;7;3;1;2;;0.6;9;0;1.9;346;14;0.5;;;;280;;;0.03;0.03;0.22;;2;;;;;4.7;2.1;4;
Gerechten;Hartig taart+groente/kaas/ei ;portie;335;162;8;14;8;4;4;0.2;0.9;78;0;1.1;322;145;0.7;17;6;0.97;148;147;105;0.05;0.16;0.07;0.28;5;0.5;0.9;27;0.4;1.1;13;10;17.5
Gerechten;Hartig taart+groente/kaas/ei ;portie;350;247;9;11;19;9;10;1.6;1.2;87;0;1.2;338;160;0.7;16;7;1.01;143;153;138;0.11;0.23;0.08;0.32;5;0.6;0.9;23;1.1;2;9.2;9;17.2
Gerechten;Kindervoed maaltijd 15 mnd ;portie;250;67;3;9;2;0;2;0;0.6;;0;1.4;90;29;0.8;16;3;0.51;217;52;;;;;;2;;;;;1.8;7.3;5;15.8
Gerechten;Kindervoed maaltijd 18 mnd ;pot;300;79;3;11;3;0;2;0;1.6;;0;1.6;130;31;0.8;17;2;0.43;247;57;;;;;;;;;;;2.1;8.4;4;17.3
Gerechten;Kip-kerriesaus/rijst diepvries ;portie;400;115;5;18;3;1;2;;0.5;0;0;1.5;380;13;0.5;;;;110;56;17;0.04;0.05;0.07;;8;;;;0.6;2.7;16;7;11.9
